timestamp,datetime,cpu_temp,vulcan_s1_temp,vulcan_s2_temp
1766486629.7412868,2025-12-23 18:43:49,80.0,59.0,59.5
1766486639.8372388,2025-12-23 18:43:59,83.0,59.0,59.5
1766486651.3351588,2025-12-23 18:44:11,80.0,59.0,59.5
1766486661.8779902,2025-12-23 18:44:21,83.0,59.0,59.5
1766486672.7033617,2025-12-23 18:44:32,83.0,59.0,59.5
1766486682.8831222,2025-12-23 18:44:42,79.0,59.0,59.5
1766486693.591021,2025-12-23 18:44:53,85.0,59.0,59.5
1766486703.3580298,2025-12-23 18:45:03,83.0,59.0,59.5
1766486714.9920607,2025-12-23 18:45:14,83.0,59.0,59.5
1766486725.0571609,2025-12-23 18:45:25,83.0,59.0,59.5
1766486735.8000922,2025-12-23 18:45:35,82.0,59.0,59.5
1766486746.9069078,2025-12-23 18:45:46,82.0,59.0,59.5
1766486757.9356987,2025-12-23 18:45:57,83.0,59.0,59.5
1766486771.655366,2025-12-23 18:46:11,86.0,59.0,59.5
1766486784.932458,2025-12-23 18:46:24,83.0,59.0,59.5
1766486795.5059097,2025-12-23 18:46:35,86.0,58.7,59.5
1766486806.769883,2025-12-23 18:46:46,85.0,59.0,59.5
1766486818.1676257,2025-12-23 18:46:58,83.0,58.7,59.5
1766486830.4819977,2025-12-23 18:47:10,85.0,59.0,59.5
1766486842.1981223,2025-12-23 18:47:22,83.0,58.7,59.5
1766486853.2326443,2025-12-23 18:47:33,83.0,58.7,59.5
1766486864.0735204,2025-12-23 18:47:44,82.0,58.7,59.5
1766486876.5427456,2025-12-23 18:47:56,83.0,58.7,59.5
1766486886.5843291,2025-12-23 18:48:06,83.0,59.0,59.5
1766486898.9675636,2025-12-23 18:48:18,86.0,58.7,59.5
1766486910.8091125,2025-12-23 18:48:30,85.0,58.7,59.5
1766486921.3897858,2025-12-23 18:48:41,83.0,58.7,59.5
1766486930.733563,2025-12-23 18:48:50,85.0,58.7,59.5
1766486941.010887,2025-12-23 18:49:01,83.0,58.7,59.5
1766486951.373107,2025-12-23 18:49:11,83.0,58.7,59.5
1766486961.7493215,2025-12-23 18:49:21,85.0,58.7,59.5
1766486971.5779564,2025-12-23 18:49:31,85.0,58.7,59.5
1766486981.2922895,2025-12-23 18:49:41,83.0,58.7,59.5
1766486991.5221796,2025-12-23 18:49:51,85.0,58.7,59.5
1766487002.3519971,2025-12-23 18:50:02,85.0,58.7,59.5
1766487011.539247,2025-12-23 18:50:11,85.0,58.7,59.5
1766487021.696403,2025-12-23 18:50:21,85.0,58.7,59.5
1766487031.497786,2025-12-23 18:50:31,83.0,58.7,59.5
1766487042.1895697,2025-12-23 18:50:42,83.0,58.7,59.5
1766487052.5298302,2025-12-23 18:50:52,83.0,58.7,59.5
1766487062.9884076,2025-12-23 18:51:02,85.0,58.7,59.5
1766487071.102547,2025-12-23 18:51:11,85.0,58.7,59.5
1766487082.0331397,2025-12-23 18:51:22,82.0,58.7,59.5
1766487094.1362877,2025-12-23 18:51:34,83.0,58.7,59.5
1766487105.837807,2025-12-23 18:51:45,85.0,58.7,59.5
1766487116.1667547,2025-12-23 18:51:56,83.0,58.7,59.5
1766487124.6806333,2025-12-23 18:52:04,85.0,58.7,59.5
1766487135.1463788,2025-12-23 18:52:15,86.0,58.7,59.5
1766487146.4302964,2025-12-23 18:52:26,86.0,58.7,59.5
1766487155.6308615,2025-12-23 18:52:35,83.0,58.7,59.5
1766487164.9083643,2025-12-23 18:52:44,85.0,58.7,59.5
1766487178.093111,2025-12-23 18:52:58,86.0,58.7,59.5
1766487189.6643298,2025-12-23 18:53:09,87.0,58.7,59.5
1766487200.3618217,2025-12-23 18:53:20,85.0,58.7,59.5
1766487210.865898,2025-12-23 18:53:30,85.0,58.7,59.5
1766487220.1441967,2025-12-23 18:53:40,86.0,58.7,59.5
1766487230.2585669,2025-12-23 18:53:50,85.0,58.7,59.5
1766487240.5531092,2025-12-23 18:54:00,85.0,58.7,59.5
1766487251.8055682,2025-12-23 18:54:11,85.0,58.7,59.5
1766487262.1554434,2025-12-23 18:54:22,85.0,58.7,59.5
1766487272.0302863,2025-12-23 18:54:32,86.0,58.7,59.5
1766487282.2276127,2025-12-23 18:54:42,85.0,58.7,59.5
1766487294.773576,2025-12-23 18:54:54,86.0,58.7,59.5
1766487304.3743396,2025-12-23 18:55:04,85.0,58.7,59.5
1766487316.054466,2025-12-23 18:55:16,85.0,58.7,59.5
1766487324.824273,2025-12-23 18:55:24,85.0,58.7,59.5
1766487337.176857,2025-12-23 18:55:37,86.0,58.7,59.5
1766487347.824263,2025-12-23 18:55:47,85.0,58.7,59.5
1766487358.7596912,2025-12-23 18:55:58,87.0,58.7,59.5
1766487369.9431782,2025-12-23 18:56:09,86.0,58.7,59.5
1766487381.7049894,2025-12-23 18:56:21,87.0,58.7,59.5
1766487393.393353,2025-12-23 18:56:33,78.0,58.7,59.5
1766487403.6774797,2025-12-23 18:56:43,86.0,58.7,59.5
1766487411.852442,2025-12-23 18:56:51,86.0,58.7,59.5
1766487422.8619118,2025-12-23 18:57:02,85.0,58.7,59.5
1766487432.8586628,2025-12-23 18:57:12,86.0,58.7,59.5
1766487443.5648682,2025-12-23 18:57:23,87.0,58.7,59.5
1766487452.0659602,2025-12-23 18:57:32,86.0,58.7,59.5
1766487464.14878,2025-12-23 18:57:44,85.0,58.7,59.5
1766487476.6935797,2025-12-23 18:57:56,86.0,58.7,59.5
1766487487.722215,2025-12-23 18:58:07,85.0,58.7,59.5
1766487495.4402504,2025-12-23 18:58:15,86.0,58.7,59.5
1766487504.2472584,2025-12-23 18:58:24,86.0,58.7,59.5
1766487516.442791,2025-12-23 18:58:36,86.0,58.7,59.5
1766487525.828667,2025-12-23 18:58:45,85.0,58.7,59.5
1766487537.211999,2025-12-23 18:58:57,86.0,58.7,59.5
1766487547.7538111,2025-12-23 18:59:07,86.0,58.7,59.5
1766487559.0237935,2025-12-23 18:59:19,86.0,58.7,59.5
1766487566.9097362,2025-12-23 18:59:26,86.0,58.7,59.5
1766487576.707753,2025-12-23 18:59:36,85.0,58.7,59.5
1766487588.1035028,2025-12-23 18:59:48,86.0,58.7,59.5
1766487602.0516877,2025-12-23 19:00:02,87.0,58.7,59.5
1766487610.1812067,2025-12-23 19:00:10,87.0,58.7,59.5
1766487621.8707423,2025-12-23 19:00:21,86.0,58.7,59.5
1766487633.069158,2025-12-23 19:00:33,86.0,58.7,59.5
1766487645.0558949,2025-12-23 19:00:45,86.0,58.7,59.5
1766487656.655201,2025-12-23 19:00:56,87.0,58.7,59.5
1766487668.5526493,2025-12-23 19:01:08,86.0,58.7,59.5
1766487678.320206,2025-12-23 19:01:18,86.0,58.7,59.5
1766487689.1957488,2025-12-23 19:01:29,86.0,58.7,59.2
1766487699.6706018,2025-12-23 19:01:39,87.0,58.7,59.5
1766487709.0722907,2025-12-23 19:01:49,86.0,58.7,59.5
1766487717.001155,2025-12-23 19:01:57,86.0,58.7,59.2
1766487729.8075504,2025-12-23 19:02:09,86.0,58.7,59.2
1766487741.1512866,2025-12-23 19:02:21,86.0,58.7,59.2
1766487753.4093676,2025-12-23 19:02:33,86.0,58.7,59.2
1766487763.3526938,2025-12-23 19:02:43,87.0,58.7,59.2
1766487773.6301887,2025-12-23 19:02:53,86.0,58.7,59.2
1766487784.2370288,2025-12-23 19:03:04,86.0,58.7,59.2
1766487797.1131718,2025-12-23 19:03:17,85.0,58.7,59.2
1766487807.7506773,2025-12-23 19:03:27,85.0,58.7,59.2
1766487821.0773828,2025-12-23 19:03:41,86.0,58.7,59.2
